INDIVIDUALS	STRATA
pal_bal_001	Male
pal_bal_002	Male
pal_bal_003	Female
pal_bal_004	Male
pal_bal_005	Female
pal_bal_006	Male
pal_bal_007	Male
pal_bal_008	Male
pal_bal_009	Male
pal_bal_010	Female
pal_bal_012	Male
pal_bal_013	Female
pal_bal_014	Male
pal_bal_015	Female
pal_bal_016	Male
pal_bal_017	Female
pal_bal_018	Male
pal_bal_019	Female
pal_bal_020	Male
pal_bal_021	Male
pal_bal_022	Female
pal_bal_023	Female
pal_bal_024	Male
pal_bal_025	Male
pal_bal_026	Female
pal_bal_027	Female
pal_bal_028	Male
pal_bal_029	Male
pal_bal_030	Female
pal_bal_031	Male
pal_bal_032	Female
pal_bal_033	Male
pal_bal_036	Male
pal_bal_037	Female
pal_bal_038	Male
pal_bal_039	Male
pal_bal_040	Female
pal_bal_041	Female
pal_bal_042	Male
pal_bal_043	Male
pal_bal_044	Female
pal_bal_045	Female
pal_bal_046	Male
pal_bal_047	Male
pal_bal_049	Female
pal_bal_050	Female
pal_bal_051	Male
pal_bal_052	Female
pal_bal_053	Female
pal_bal_054	Male
pal_bal_055	Male
pal_bal_056	Female
pal_bal_057	Male
pal_bal_058	Male
pal_bal_059	Female
pal_bal_061	Male
pal_bal_062	Female
pal_bal_063	Female
pal_bal_064	Female
pal_bal_065	Female
pal_bal_066	Male
pal_bal_067	Male
pal_bal_068	Female
pal_bal_069	Female
pal_bal_070	Male
pal_bal_071	Ind
pal_bal_072	Ind
pal_bal_073	Female
pal_bal_074	Female
pal_bal_075	Female
pal_bal_076	Ind
pal_bal_077	Ind
pal_bal_078	Ind
pal_bal_079	Female
pal_bal_080	Male
pal_bal_081	Female
pal_bal_082	Ind
pal_bal_083	Ind
pal_bal_084	Ind
pal_bal_085	Ind
pal_bal_086	Ind
pal_bal_087	Ind
pal_bal_088	Ind
pal_bal_089	Ind
pal_bal_090	Ind
pal_bal_091	Female
pal_bal_092	Female
pal_bal_093	Male
pal_bal_094	Female
pal_bal_095	Female
pal_bal_096	Male
pal_bal_097	Male
pal_bal_098	Female
pal_bal_099	Ind
pal_bal_100	Ind
pal_bal_101	Ind
pal_bal_102	Male
pal_bal_103	Male
pal_bal_104	Male
pal_bal_105	Ind
pal_bal_106	Ind
pal_bal_107	Ind
pal_bal_108	Ind
pal_bal_109	Ind
pal_bal_110	Ind
pal_bal_111	Ind
pal_bal_112	Male
pal_bal_113	Male
pal_bal_114	Ind
pal_bal_115	Ind
pal_bal_116	Ind
pal_bal_117	Male
pal_bal_118	Female
pal_bal_119	Female
pal_bal_120	Male
pal_bal_121	Ind
pal_bal_122	Ind
pal_bal_123	Ind
pal_bal_124	Female
pal_bal_126	Female
pal_bal_127	Male
pal_bal_128	Male
pal_bal_129	Male
pal_bal_130	Male
pal_bal_132	Female
pal_bal_133	Female
pal_bal_134	Male
pal_bal_135	Male
pal_bal_136	Female
pal_bal_137	Female
pal_bal_138	Female
pal_bal_139	Female
pal_bal_140	Female
pal_bal_141	Female
pal_bal_143	Male
pal_bal_144	Male
pal_bal_145	Male
pal_bal_146	Male
pal_bal_147	Male
pal_bal_148	Male
pal_bal_149	Female
pal_bal_150	Female
pal_bal_151	Male
pal_bal_152	Male
pal_bal_153	Male
pal_bal_154	Male
pal_bal_155	Male
pal_bal_156	Male
pal_bal_157	Male
pal_bal_158	Female
pal_bal_159	Female
pal_bal_160	Female
pal_bal_161	Female
pal_bal_162	Female
pal_bal_163	Female
pal_bal_164	Male
pal_bal_165	Female
pal_bal_166	Male
pal_bal_167	Female
pal_bal_168	Female
pal_bal_169	Female
pal_bal_170	Female
pal_bal_171	Male
pal_bal_172	Female
pal_bal_173	Male
pal_bal_174	Male
pal_bal_175	Male
pal_bal_176	Male
pal_bal_177	Female
pal_bal_178	Male
pal_bal_179	Male
pal_bal_180	Male
pal_bal_181	Male
pal_bal_182	Male
pal_spaAL_001	NA
pal_spaAL_002	NA
pal_spaAL_003	NA
pal_spaAL_004	NA
pal_spaAL_005	NA
pal_spaAL_006	NA
pan_fra_006	NA
pan_fra_007	NA
pan_fra_008	NA
pan_fra_009	NA
pan_spaS_001	Male
pan_spaS_002	Female
pan_spaS_003	Male
pan_spaS_004	NA
pan_spaS_005	NA
pan_spaS_006	NA
pan_spaS_007	NA
pan_spaS_008	NA
pan_spaS_009	Female
pan_spaS_010	NA
pan_spaS_011	NA
pan_spaS_012	NA
pan_spaS_013	NA
pan_spaS_014	NA
pan_spaS_015	NA
pan_spaS_016	NA
pan_spaS_017	NA
pan_spaS_018	Male
pan_spaS_019	Male
pan_spaS_020	Female
pan_spaS_021	Female
pan_spaS_022	Female
pan_spaS_024	Female
pan_spaS_025	Male
pan_spaS_026	Male
pan_spaS_027	Male
pan_spaS_028	Male
pan_spaS_029	Male
pan_spaS_030	Male
pan_spaS_031	Male
pan_spaS_032	Male
pan_spaS_033	Male
pan_spaS_034	Female
pan_spaS_035	Male
pan_spaS_036	Female
pan_spaS_037	Male
pan_spaS_038	Female
pan_spaS_039	Female
pan_spaS_040	Male
pan_spaS_041	Male
pan_spaS_042	Male
pan_spaS_043	Female
pan_spaS_044	Male
pan_spaS_045	Male
pan_spaS_046	Female
pan_spaS_047	Female
pan_spaS_048	Male
pan_spaS_049	Male
pan_spaS_050	Female
pan_spaS_051	Male
pan_spaS_052	Male
pal_medit_001	NA
pal_medit_002	NA
pal_medit_003	NA
pal_medit_004	NA
pal_medit_005	NA
pal_medit_006	NA
pal_medit_007	NA
pan_fra_005	NA
