labels	salinity_surface_whole_yr_max	salinity_surface_whole_yr_mean	salinity_surface_whole_yr_min	salinity_water_column_whole_yr_max	salinity_water_column_whole_yr_mean	salinity_water_column_whole_yr_min	salinity_surface_repro_max	salinity_surface_repro_mean	salinity_surface_repro_min	salinity_water_column_repro_max	salinity_water_column_repro_mean	salinity_water_column_repro_min	sst_whole_yr_max	sst_whole_yr_mean	sst_whole_yr_min	sst_repro_max	sst_repro_mean	sst_repro_min	chlo_surface_max	chlo_surface_mean	chlo_surface_min	chlo_benthic_max	chlo_benthic_mean	chlo_benthic_min	IND	LAT	LON
pal_bal_001	38.2514381408691	37.4577394573168	36.7478942871094	38.3381958007812	37.5861343758925	36.64306640625	38.2514381408691	37.3602856822397	36.7478942871094	38.3381958007812	37.7009686327529	36.9042129516602	28.8663082122803	19.2957554548636	13.0614423751831	28.8663082122803	23.340714498498	17.0903453826904	0.155689	0.060612	0.028796	0.453321	0.247934	0.068321	pal_bal_124	42.0607666700	3.2138333300
pal_bal_002	38.2514381408691	37.4577394573168	36.7478942871094	38.3381958007812	37.5861343758925	36.64306640625	38.2514381408691	37.3602856822397	36.7478942871094	38.3381958007812	37.7009686327529	36.9042129516602	28.8663082122803	19.2957554548636	13.0614423751831	28.8663082122803	23.340714498498	17.0903453826904	0.155689	0.060612	0.028796	0.453321	0.247934	0.068321	pal_bal_113	42.3551800000	3.2608860000
pal_bal_003	38.2514381408691	37.4577394573168	36.7478942871094	38.3381958007812	37.5861343758925	36.64306640625	38.2514381408691	37.3602856822397	36.7478942871094	38.3381958007812	37.7009686327529	36.9042129516602	28.8663082122803	19.2957554548636	13.0614423751831	28.8663082122803	23.340714498498	17.0903453826904	0.155689	0.060612	0.028796	0.453321	0.247934	0.068321	pal_bal_165	40.1270000000	3.9921670000
pal_bal_004	38.2724571228027	37.4453049144526	36.7498588562012	38.3281936645508	37.5538029752929	36.6395378112793	38.2724571228027	37.3570071034048	36.7498588562012	38.3281936645508	37.659595533349	36.9269828796387	28.857795715332	19.3293820551072	13.0603847503662	28.857795715332	23.3747571419025	17.1171627044678	0.171765	0.061865	0.028689	0.443332	0.163255	0.037736	pal_bal_171	40.0865670000	3.9801500000
pal_bal_005	38.2724571228027	37.4453049144526	36.7498588562012	38.3281936645508	37.5538029752929	36.6395378112793	38.2724571228027	37.3570071034048	36.7498588562012	38.3281936645508	37.659595533349	36.9269828796387	28.857795715332	19.3293820551072	13.0603847503662	28.857795715332	23.3747571419025	17.1171627044678	0.171765	0.061865	0.028689	0.443332	0.163255	0.037736	pal_bal_102	40.0952500000	4.1815500000
pal_bal_006	38.3238334655762	37.4829958553972	36.7477340698242	38.3464012145996	37.6282017631092	36.6280479431152	38.3238334655762	37.3994813239437	36.7477340698242	38.3464012145996	37.7765360280472	36.8997955322266	28.7976722717285	19.2905747040935	12.977331161499	28.7976722717285	23.3534768970533	17.1962547302246	0.13584	0.057617	0.029104	0.446186	0.158953	0.037342	pal_bal_023	39.8566166700	0.6756000000
pal_bal_007	38.3238334655762	37.4829958553972	36.7477340698242	38.3464012145996	37.6282017631092	36.6280479431152	38.3238334655762	37.3994813239437	36.7477340698242	38.3464012145996	37.7765360280472	36.8997955322266	28.7976722717285	19.2905747040935	12.977331161499	28.7976722717285	23.3534768970533	17.1962547302246	0.133349	0.05787	0.029123	0.317162	0.090262	0.029236	pal_bal_159	40.1270000000	3.9921670000
pal_bal_008	38.3238334655762	37.4829958553972	36.7477340698242	38.3464012145996	37.6282017631092	36.6280479431152	38.3238334655762	37.3994813239437	36.7477340698242	38.3464012145996	37.7765360280472	36.8997955322266	28.7976722717285	19.2905747040935	12.977331161499	28.7976722717285	23.3534768970533	17.1962547302246	0.133349	0.05787	0.029123	0.317162	0.090262	0.029236	pal_bal_181	39.8236000000	3.5370170000
pal_bal_009	38.3238334655762	37.4829958553972	36.7477340698242	38.3464012145996	37.6282017631092	36.6280479431152	38.3238334655762	37.3994813239437	36.7477340698242	38.3464012145996	37.7765360280472	36.8997955322266	28.7976722717285	19.2905747040935	12.977331161499	28.7976722717285	23.3534768970533	17.1962547302246	0.133349	0.05787	0.029123	0.317162	0.090262	0.029236	pal_bal_017	39.8807000000	0.6738333300
pal_bal_010	38.3238334655762	37.4829958553972	36.7477340698242	38.3464012145996	37.6282017631092	36.6280479431152	38.3238334655762	37.3994813239437	36.7477340698242	38.3464012145996	37.7765360280472	36.8997955322266	28.7976722717285	19.2905747040935	12.977331161499	28.7976722717285	23.3534768970533	17.1962547302246	0.133349	0.05787	0.029123	0.317162	0.090262	0.029236	pal_bal_085	39.7291166700	3.4657166700
