INDIVIDUALS	STRATA
pal_bal_001	Norte_de_Menorca
pal_bal_002	Norte_de_Menorca
pal_bal_003	Norte_de_Menorca
pal_bal_004	Norte_de_Menorca
pal_bal_005	Norte_de_Menorca
pal_bal_006	Llevant_De_Mallorca
pal_bal_007	Llevant_De_Mallorca
pal_bal_008	Llevant_De_Mallorca
pal_bal_009	Llevant_De_Mallorca
pal_bal_010	Llevant_De_Mallorca
pal_bal_012	Illes_Columbretes
pal_bal_013	Illes_Columbretes
pal_bal_014	Illes_Columbretes
pal_bal_015	Illes_Columbretes
pal_bal_016	Illes_Columbretes
pal_bal_017	Illes_Columbretes
pal_bal_018	Illes_Columbretes
pal_bal_019	Illes_Columbretes
pal_bal_020	Illes_Columbretes
pal_bal_021	Illes_Columbretes
pal_bal_022	Illes_Columbretes
pal_bal_023	Illes_Columbretes
pal_bal_024	Illes_Columbretes
pal_bal_025	Illes_Columbretes
pal_bal_026	Illes_Columbretes
pal_bal_027	Illes_Columbretes
pal_bal_028	Illes_Columbretes
pal_bal_029	Illes_Columbretes
pal_bal_030	Illes_Columbretes
pal_bal_031	Illes_Columbretes
pal_bal_032	Illes_Columbretes
pal_bal_033	Illes_Columbretes
pal_bal_036	Illes_Columbretes
pal_bal_037	Illes_Columbretes
pal_bal_038	Illes_Columbretes
pal_bal_039	Illes_Columbretes
pal_bal_040	Illes_Columbretes
pal_bal_041	Illes_Columbretes
pal_bal_042	Illes_Columbretes
pal_bal_043	Illes_Columbretes
pal_bal_044	Illes_Columbretes
pal_bal_045	Illes_Columbretes
pal_bal_046	Illes_Columbretes
pal_bal_047	Illes_Columbretes
pal_bal_049	Illes_Columbretes
pal_bal_050	Illes_Columbretes
pal_bal_051	Illes_Columbretes
pal_bal_052	Illes_Columbretes
pal_bal_053	Illes_Columbretes
pal_bal_054	Illes_Columbretes
pal_bal_055	Illes_Columbretes
pal_bal_056	Illes_Columbretes
pal_bal_057	Illes_Columbretes
pal_bal_058	Illes_Columbretes
pal_bal_059	Illes_Columbretes
pal_bal_061	Norte_de_Menorca
pal_bal_062	Norte_de_Menorca
pal_bal_063	Norte_de_Menorca
pal_bal_064	Norte_de_Menorca
pal_bal_065	Norte_de_Menorca
pal_bal_066	Norte_de_Menorca
pal_bal_067	Llevant_De_Mallorca
pal_bal_068	Llevant_De_Mallorca
pal_bal_069	Llevant_De_Mallorca
pal_bal_070	Llevant_De_Mallorca
pal_bal_071	Llevant_De_Mallorca
pal_bal_072	Llevant_De_Mallorca
pal_bal_073	Norte_de_Menorca
pal_bal_074	Norte_de_Menorca
pal_bal_075	Norte_de_Menorca
pal_bal_076	Llevant_De_Mallorca
pal_bal_077	Llevant_De_Mallorca
pal_bal_078	Llevant_De_Mallorca
pal_bal_079	Norte_de_Menorca
pal_bal_080	Norte_de_Menorca
pal_bal_081	Norte_de_Menorca
pal_bal_082	Llevant_De_Mallorca
pal_bal_083	Llevant_De_Mallorca
pal_bal_084	Llevant_De_Mallorca
pal_bal_085	Llevant_De_Mallorca
pal_bal_086	Llevant_De_Mallorca
pal_bal_087	Llevant_De_Mallorca
pal_bal_088	Llevant_De_Mallorca
pal_bal_089	Llevant_De_Mallorca
pal_bal_090	Llevant_De_Mallorca
pal_bal_091	Llevant_De_Mallorca
pal_bal_092	Llevant_De_Mallorca
pal_bal_093	Norte_de_Menorca
pal_bal_094	Norte_de_Menorca
pal_bal_095	Norte_de_Menorca
pal_bal_096	Norte_de_Menorca
pal_bal_097	Norte_de_Menorca
pal_bal_098	Norte_de_Menorca
pal_bal_099	Llevant_De_Mallorca
pal_bal_100	Llevant_De_Mallorca
pal_bal_101	Llevant_De_Mallorca
pal_bal_102	Norte_de_Menorca
pal_bal_103	Norte_de_Menorca
pal_bal_104	Norte_de_Menorca
pal_bal_105	Cap_de_Creus
pal_bal_106	Cap_de_Creus
pal_bal_107	Cap_de_Creus
pal_bal_108	Cap_de_Creus
pal_bal_109	Cap_de_Creus
pal_bal_110	Cap_de_Creus
pal_bal_111	Cap_de_Creus
pal_bal_112	Cap_de_Creus
pal_bal_113	Cap_de_Creus
pal_bal_114	Cap_de_Creus
pal_bal_115	Cap_de_Creus
pal_bal_116	Cap_de_Creus
pal_bal_117	Cap_de_Creus
pal_bal_118	Cap_de_Creus
pal_bal_119	Cap_de_Creus
pal_bal_120	Cap_de_Creus
pal_bal_121	Cap_de_Creus
pal_bal_122	Cap_de_Creus
pal_bal_123	Cap_de_Creus
pal_bal_124	Cap_de_Creus
pal_bal_126	Cap_de_Creus
pal_bal_127	Cap_de_Creus
pal_bal_128	Cap_de_Creus
pal_bal_129	Llevant_De_Mallorca
pal_bal_130	Llevant_De_Mallorca
pal_bal_132	Llevant_De_Mallorca
pal_bal_133	Norte_de_Menorca
pal_bal_134	Norte_de_Menorca
pal_bal_135	Llevant_De_Mallorca
pal_bal_136	Llevant_De_Mallorca
pal_bal_137	Llevant_De_Mallorca
pal_bal_138	Llevant_De_Mallorca
pal_bal_139	Llevant_De_Mallorca
pal_bal_140	Llevant_De_Mallorca
pal_bal_141	Llevant_De_Mallorca
pal_bal_143	Llevant_De_Mallorca
pal_bal_144	Llevant_De_Mallorca
pal_bal_145	Llevant_De_Mallorca
pal_bal_146	Norte_de_Menorca
pal_bal_147	Norte_de_Menorca
pal_bal_148	Norte_de_Menorca
pal_bal_149	Norte_de_Menorca
pal_bal_150	Norte_de_Menorca
pal_bal_151	Norte_de_Menorca
pal_bal_152	Norte_de_Menorca
pal_bal_153	Norte_de_Menorca
pal_bal_154	Llevant_De_Mallorca
pal_bal_155	Llevant_De_Mallorca
pal_bal_156	Llevant_De_Mallorca
pal_bal_157	Llevant_De_Mallorca
pal_bal_158	Llevant_De_Mallorca
pal_bal_159	Norte_de_Menorca
pal_bal_160	Norte_de_Menorca
pal_bal_161	Norte_de_Menorca
pal_bal_162	Norte_de_Menorca
pal_bal_163	Norte_de_Menorca
pal_bal_164	Norte_de_Menorca
pal_bal_165	Norte_de_Menorca
pal_bal_166	Norte_de_Menorca
pal_bal_167	Norte_de_Menorca
pal_bal_168	Norte_de_Menorca
pal_bal_169	Norte_de_Menorca
pal_bal_170	Norte_de_Menorca
pal_bal_171	Norte_de_Menorca
pal_bal_172	Llevant_De_Mallorca
pal_bal_173	Llevant_De_Mallorca
pal_bal_174	Llevant_De_Mallorca
pal_bal_175	Llevant_De_Mallorca
pal_bal_176	Llevant_De_Mallorca
pal_bal_177	Llevant_De_Mallorca
pal_bal_178	Llevant_De_Mallorca
pal_bal_179	Llevant_De_Mallorca
pal_bal_180	Llevant_De_Mallorca
pal_bal_181	Llevant_De_Mallorca
pal_bal_182	Llevant_De_Mallorca
pal_medit_001	Illes_Columbretes
pal_medit_002	Illes_Columbretes
pal_medit_003	Illes_Columbretes
pal_medit_004	Illes_Columbretes
pal_medit_005	Illes_Columbretes
pal_medit_006	Illes_Columbretes
pal_medit_007	Illes_Columbretes
pal_spaAL_001	Illa_De_Tabarca
pal_spaAL_002	Illa_De_Tabarca
pal_spaAL_003	Illa_De_Tabarca
pal_spaAL_004	Illa_De_Tabarca
pal_spaAL_005	Illa_De_Tabarca
pal_spaAL_006	Illa_De_Tabarca
pan_fra_005	Cerbere_Banyuls
pan_fra_006	Cerbere_Banyuls
pan_fra_007	Cerbere_Banyuls
pan_fra_008	Cerbere_Banyuls
pan_fra_009	Cerbere_Banyuls
pan_spaS_001	Cabo_de_Gata_Níjar
pan_spaS_002	Cabo_de_Gata_Níjar
pan_spaS_003	Cabo_de_Gata_Níjar
pan_spaS_004	Cabo_de_Gata_Níjar
pan_spaS_005	Cabo_de_Gata_Níjar
pan_spaS_006	Cabo_de_Gata_Níjar
pan_spaS_007	Cabo_de_Gata_Níjar
pan_spaS_008	Cabo_de_Gata_Níjar
pan_spaS_009	Cabo_de_Gata_Níjar
pan_spaS_010	Cabo_de_Gata_Níjar
pan_spaS_011	Cabo_de_Gata_Níjar
pan_spaS_012	Cabo_de_Gata_Níjar
pan_spaS_013	Cabo_de_Gata_Níjar
pan_spaS_014	Cabo_de_Gata_Níjar
pan_spaS_015	Cabo_de_Gata_Níjar
pan_spaS_016	Cabo_de_Gata_Níjar
pan_spaS_017	Cabo_de_Gata_Níjar
pan_spaS_018	Cabo_de_Gata_Níjar
pan_spaS_019	Cabo_de_Gata_Níjar
pan_spaS_020	Cabo_de_Gata_Níjar
pan_spaS_021	Cabo_de_Gata_Níjar
pan_spaS_022	Cabo_de_Gata_Níjar
pan_spaS_024	Cabo_de_Gata_Níjar
pan_spaS_025	Cabo_de_Gata_Níjar
pan_spaS_026	Cabo_de_Gata_Níjar
pan_spaS_027	Cabo_de_Gata_Níjar
pan_spaS_028	Cabo_de_Palos
pan_spaS_029	Cabo_de_Palos
pan_spaS_030	Cabo_de_Palos
pan_spaS_031	Cabo_de_Palos
pan_spaS_032	Cabo_de_Palos
pan_spaS_033	Cabo_de_Palos
pan_spaS_034	Cabo_de_Palos
pan_spaS_035	Cabo_de_Palos
pan_spaS_036	Cabo_de_Palos
pan_spaS_037	Cabo_de_Palos
pan_spaS_038	Cabo_de_Palos
pan_spaS_039	Cabo_de_Palos
pan_spaS_040	Cabo_de_Palos
pan_spaS_041	Cabo_de_Palos
pan_spaS_042	Cabo_de_Palos
pan_spaS_043	Cabo_de_Gata_Níjar
pan_spaS_044	Cabo_de_Palos
pan_spaS_045	Cabo_de_Palos
pan_spaS_046	Cabo_de_Palos
pan_spaS_047	Cabo_de_Palos
pan_spaS_048	Cabo_de_Palos
pan_spaS_049	Cabo_de_Palos
pan_spaS_050	Cabo_de_Palos
pan_spaS_051	Cabo_de_Palos
pan_spaS_052	Cabo_de_Palos
