Obs.	pal_bal_001	pal_bal_002	pal_bal_003	pal_bal_004	pal_bal_005	pal_bal_061	pal_bal_062	pal_bal_063	pal_bal_064	pal_bal_065	pal_bal_066	pal_bal_073	pal_bal_074	pal_bal_075	pal_bal_079	pal_bal_080	pal_bal_081	pal_bal_093	pal_bal_094	pal_bal_095	pal_bal_096	pal_bal_097	pal_bal_098	pal_bal_102	pal_bal_103	pal_bal_104	pal_bal_133	pal_bal_134	pal_bal_146	pal_bal_147	pal_bal_148	pal_bal_149	pal_bal_150	pal_bal_151	pal_bal_152	pal_bal_153	pal_bal_159	pal_bal_160	pal_bal_161	pal_bal_162	pal_bal_163	pal_bal_164	pal_bal_165	pal_bal_166	pal_bal_167	pal_bal_168	pal_bal_169	pal_bal_170	pal_bal_171	pal_bal_012	pal_bal_013	pal_bal_014	pal_bal_015	pal_bal_016	pal_bal_017	pal_bal_018	pal_bal_019	pal_bal_020	pal_bal_021	pal_bal_022	pal_bal_023	pal_bal_024	pal_bal_025	pal_bal_026	pal_bal_027	pal_bal_028	pal_bal_029	pal_bal_030	pal_bal_031	pal_bal_032	pal_bal_033	pal_bal_036	pal_bal_037	pal_bal_038	pal_bal_039	pal_bal_040	pal_bal_041	pal_bal_042	pal_bal_043	pal_bal_044	pal_bal_045	pal_bal_046	pal_bal_047	pal_bal_049	pal_bal_050	pal_bal_051	pal_bal_052	pal_bal_053	pal_bal_054	pal_bal_055	pal_bal_056	pal_bal_057	pal_bal_058	pal_bal_059	pal_medit_001	pal_medit_002	pal_medit_003	pal_medit_004	pal_medit_005	pal_medit_006	pal_medit_007	pal_bal_006	pal_bal_007	pal_bal_008	pal_bal_009	pal_bal_010	pal_bal_067	pal_bal_068	pal_bal_069	pal_bal_070	pal_bal_071	pal_bal_072	pal_bal_076	pal_bal_077	pal_bal_078	pal_bal_082	pal_bal_083	pal_bal_084	pal_bal_085	pal_bal_086	pal_bal_087	pal_bal_088	pal_bal_089	pal_bal_090	pal_bal_091	pal_bal_092	pal_bal_099	pal_bal_100	pal_bal_101	pal_bal_129	pal_bal_130	pal_bal_132	pal_bal_135	pal_bal_136	pal_bal_137	pal_bal_138	pal_bal_139	pal_bal_140	pal_bal_141	pal_bal_143	pal_bal_144	pal_bal_145	pal_bal_154	pal_bal_155	pal_bal_156	pal_bal_157	pal_bal_158	pal_bal_172	pal_bal_173	pal_bal_174	pal_bal_175	pal_bal_176	pal_bal_177	pal_bal_178	pal_bal_179	pal_bal_180	pal_bal_181	pal_bal_182	pan_fra_006	pan_fra_007	pan_fra_008	pan_fra_009	pal_spaAL_001	pal_spaAL_002	pal_spaAL_003	pal_spaAL_004	pal_spaAL_005	pal_spaAL_006	pan_spaS_001	pan_spaS_002	pan_spaS_003	pan_spaS_004	pan_spaS_005	pan_spaS_006	pan_spaS_007	pan_spaS_008	pan_spaS_009	pan_spaS_010	pan_spaS_011	pan_spaS_012	pan_spaS_013	pan_spaS_014	pan_spaS_015	pan_spaS_016	pan_spaS_017	pan_spaS_018	pan_spaS_019	pan_spaS_020	pan_spaS_021	pan_spaS_022	pan_spaS_023	pan_spaS_024	pan_spaS_025	pan_spaS_026	pan_spaS_027	pan_spaS_028	pan_spaS_029	pan_spaS_030	pan_spaS_031	pan_spaS_032	pan_spaS_033	pan_spaS_034	pan_spaS_035	pan_spaS_036	pan_spaS_037	pan_spaS_038	pan_spaS_039	pan_spaS_040	pan_spaS_041	pan_spaS_042	pan_spaS_043	pan_spaS_044	pan_spaS_045	pan_spaS_046	pan_spaS_047	pan_spaS_048	pan_spaS_049	pan_spaS_050	pan_spaS_051	pal_bal_105	pal_bal_106	pal_bal_107	pal_bal_108	pal_bal_109	pal_bal_110	pal_bal_111	pal_bal_112	pal_bal_113	pal_bal_114	pal_bal_115	pal_bal_116	pal_bal_117	pal_bal_118	pal_bal_119	pal_bal_120	pal_bal_121	pal_bal_122	pal_bal_123	pal_bal_124	pal_bal_126	pal_bal_127	pal_bal_128	pan_fra_005
pal_bal_001	0.535	-0.005	0.001	-0.003	-0.009	0.002	0.008	-0.007	0.003	-0.004	-0.009	0.006	0.000	-0.007	0.004	0.002	0.002	0.004	0.002	0.006	-0.001	0.007	0.004	-0.003	-0.001	-0.005	0.003	0.002	-0.004	-0.005	0.001	-0.001	-0.003	0.002	-0.004	0.002	0.006	-0.003	-0.004	-0.002	0.006	-0.002	0.000	-0.006	0.002	-0.013	-0.004	0.005	0.002	0.003	-0.004	-0.002	-0.001	-0.002	-0.003	-0.002	-0.009	-0.004	-0.004	0.001	-0.007	-0.005	-0.005	-0.004	0.011	-0.005	0.005	0.001	-0.002	-0.007	-0.007	-0.006	0.009	-0.004	-0.002	0.002	0.000	0.003	0.000	-0.006	0.010	-0.010	0.006	-0.005	0.001	-0.000	-0.007	0.004	-0.002	-0.008	0.001	0.004	0.008	-0.005	-0.003	0.004	0.002	-0.001	-0.004	-0.005	0.001	0.014	0.002	-0.008	0.009	0.012	-0.003	-0.014	-0.004	0.001	0.001	-0.001	-0.005	-0.001	-0.004	0.001	-0.001	0.001	0.001	-0.010	0.003	-0.000	0.003	0.002	0.004	-0.001	0.007	-0.018	-0.005	0.003	0.002	-0.001	0.005	-0.005	0.006	-0.002	-0.003	0.005	0.006	-0.008	-0.000	-0.001	0.001	0.003	0.001	-0.002	-0.001	0.005	0.007	-0.003	0.004	0.009	0.009	0.007	0.001	-0.007	-0.000	0.001	-0.003	0.007	0.012	-0.004	0.005	0.013	0.004	-0.001	-0.002	0.011	-0.000	-0.001	0.004	-0.001	-0.000	-0.003	0.004	-0.013	0.004	-0.008	0.000	-0.001	0.003	-0.001	0.000	0.004	0.003	-0.005	-0.004	0.003	0.003	0.004	0.003	-0.001	-0.006	0.004	-0.000	0.001	-0.006	-0.005	0.008	0.010	-0.006	-0.001	-0.002	-0.001	0.002	0.005	-0.002	-0.000	0.005	-0.001	-0.001	-0.000	-0.002	0.003	-0.003	-0.013	-0.002	-0.005	0.006	-0.003	-0.004	0.007	0.001	0.007	0.005	-0.005	0.011	-0.003	0.005	0.007	-0.004	0.002	-0.000	-0.004	-0.014	-0.001	0.002	-0.005	0.006	-0.015	0.010	0.005	-0.001
pal_bal_002	-0.005	0.508	0.002	0.003	0.002	-0.003	-0.001	-0.001	-0.003	0.003	-0.003	0.001	0.005	-0.001	-0.001	-0.005	-0.005	-0.002	0.003	0.001	-0.008	-0.006	-0.011	0.000	0.008	-0.000	-0.004	-0.000	0.006	-0.005	0.000	0.004	-0.008	-0.013	0.009	0.006	0.003	0.005	-0.000	-0.003	-0.008	0.003	0.000	0.005	-0.001	-0.003	0.009	0.007	-0.002	-0.003	0.014	-0.004	0.003	-0.003	-0.001	0.003	0.009	0.000	0.009	-0.002	0.006	0.005	-0.004	-0.003	-0.001	0.002	-0.003	0.002	0.006	0.004	0.000	0.006	0.002	-0.007	-0.004	-0.004	0.000	0.001	-0.005	-0.003	-0.002	0.001	-0.001	-0.001	0.000	-0.003	0.002	-0.006	-0.007	-0.001	-0.004	0.011	0.004	0.003	-0.007	-0.005	0.006	0.009	-0.008	-0.006	0.005	-0.003	-0.006	0.005	0.006	-0.003	0.005	-0.007	-0.008	0.003	0.001	0.002	0.004	0.001	0.004	-0.003	-0.002	-0.005	-0.002	0.007	0.001	0.005	0.004	0.001	0.005	-0.001	0.001	0.008	0.001	-0.003	0.002	0.001	0.003	0.004	-0.007	-0.002	0.002	-0.001	-0.009	0.005	-0.001	0.005	-0.001	0.004	0.001	0.006	-0.003	0.008	0.010	0.001	0.004	0.007	-0.001	-0.002	-0.003	-0.006	0.005	-0.004	-0.001	-0.005	-0.002	0.004	-0.010	0.006	0.005	-0.009	0.004	-0.008	-0.008	0.001	0.006	0.000	0.003	0.001	0.008	-0.004	0.001	-0.003	0.003	0.008	0.007	-0.003	0.001	0.010	-0.000	0.001	-0.004	-0.008	0.001	-0.002	0.005	0.005	0.003	-0.005	0.003	-0.002	-0.014	-0.003	-0.005	0.002	0.001	-0.001	0.007	0.002	-0.001	0.004	-0.000	-0.010	0.003	-0.001	-0.001	-0.000	0.005	0.010	-0.002	0.007	-0.006	-0.002	0.001	-0.006	-0.010	-0.006	-0.002	0.004	-0.003	0.002	-0.001	-0.009	0.004	-0.006	-0.004	-0.002	0.003	-0.002	0.004	-0.003	-0.001	-0.008	-0.000	0.007	-0.011	0.005	-0.007
pal_bal_003	0.001	0.002	0.550	-0.010	0.002	-0.000	0.003	-0.002	0.001	-0.001	-0.000	-0.009	-0.012	-0.007	-0.006	0.005	-0.004	0.003	-0.008	-0.008	0.007	-0.009	0.001	-0.002	0.004	0.002	0.004	-0.002	-0.007	0.004	0.000	0.002	0.008	0.002	0.010	0.008	0.004	0.003	0.007	0.000	0.009	0.004	-0.003	-0.007	0.003	0.002	0.002	-0.008	0.003	-0.005	0.006	-0.013	-0.015	0.006	0.001	-0.007	0.003	0.004	0.005	-0.010	0.009	0.008	-0.016	-0.006	0.003	0.005	-0.001	0.001	-0.009	-0.002	-0.006	0.008	-0.008	0.010	-0.014	-0.003	0.005	-0.010	0.002	0.002	-0.002	0.001	-0.002	-0.003	0.007	-0.012	-0.002	-0.006	0.004	-0.007	0.002	0.004	-0.001	0.003	0.003	-0.005	-0.008	-0.004	-0.002	-0.009	0.005	-0.003	0.010	0.007	0.008	0.002	-0.005	-0.001	0.003	0.003	-0.005	0.005	-0.013	0.007	0.001	0.001	0.006	-0.001	-0.003	-0.002	-0.003	0.005	0.006	0.005	0.000	-0.001	-0.004	0.000	0.003	-0.007	-0.005	0.007	-0.007	0.003	0.002	0.005	-0.002	0.003	0.008	0.003	-0.012	-0.003	-0.007	-0.001	0.005	0.000	0.001	0.013	-0.002	-0.004	0.005	-0.000	0.006	0.001	-0.013	-0.002	0.005	0.012	-0.006	-0.005	-0.005	0.001	0.004	-0.004	-0.003	0.000	-0.003	-0.004	0.000	-0.007	-0.001	-0.007	-0.000	0.004	0.006	-0.004	-0.003	-0.003	-0.006	0.006	-0.008	0.002	0.001	-0.001	-0.004	-0.007	0.001	-0.001	0.008	-0.007	0.003	-0.004	0.003	0.007	0.009	0.008	-0.006	-0.002	0.008	0.006	-0.001	0.011	0.001	0.006	-0.004	0.005	-0.006	-0.006	-0.003	0.005	-0.007	-0.004	0.004	-0.005	-0.003	0.004	-0.002	-0.008	0.003	0.015	-0.007	0.004	0.002	-0.001	0.001	0.003	-0.001	0.008	-0.001	0.003	0.000	0.001	0.003	-0.006	-0.004	0.001	0.000	0.003	-0.003	-0.004	0.006	0.003	-0.006
pal_bal_004	-0.003	0.003	-0.010	0.524	-0.004	0.005	-0.002	0.004	-0.007	0.004	-0.005	0.003	0.004	-0.007	0.004	0.008	0.005	-0.002	-0.002	0.001	-0.001	-0.010	-0.003	-0.008	0.004	0.005	0.000	-0.002	0.003	0.011	-0.002	-0.008	-0.001	0.002	0.002	0.002	0.005	-0.003	0.002	0.002	0.003	0.008	0.006	-0.012	0.006	0.001	0.013	0.008	-0.001	-0.004	0.005	0.008	0.007	-0.000	0.004	-0.002	-0.000	0.001	-0.002	-0.010	-0.004	0.001	-0.003	0.001	-0.003	0.000	-0.006	-0.004	-0.003	0.001	-0.006	-0.009	0.004	-0.006	-0.002	0.001	-0.009	-0.007	0.008	-0.001	-0.001	-0.007	0.003	0.004	0.003	0.003	-0.013	-0.003	-0.004	0.002	0.011	-0.008	0.011	0.003	-0.006	0.005	0.007	0.002	-0.003	0.008	-0.002	-0.003	-0.002	0.003	0.007	0.001	0.003	0.006	-0.006	-0.006	-0.007	-0.000	0.003	-0.006	0.003	0.000	-0.008	0.008	0.002	-0.015	-0.003	0.005	-0.006	0.005	0.006	0.005	-0.009	-0.001	0.003	-0.002	-0.003	0.002	0.002	-0.000	-0.013	0.002	-0.007	0.002	-0.001	0.003	0.006	-0.009	0.001	0.007	0.004	-0.003	-0.001	-0.001	0.005	-0.004	-0.007	-0.003	0.006	-0.001	0.006	-0.003	0.003	-0.011	0.001	-0.011	-0.004	-0.005	0.003	0.004	-0.006	0.003	-0.005	0.005	-0.007	-0.005	-0.006	-0.004	-0.000	-0.005	0.001	0.002	-0.004	0.005	-0.006	0.007	0.003	0.001	0.007	0.002	0.004	-0.011	0.007	0.008	0.001	-0.008	-0.001	0.000	0.001	0.001	0.006	0.002	-0.001	0.004	-0.007	-0.000	0.001	0.005	0.008	0.005	0.001	0.003	-0.005	-0.000	0.006	-0.003	0.004	0.002	-0.000	-0.001	0.003	-0.007	0.005	-0.004	-0.007	0.005	0.004	0.009	0.004	-0.002	-0.007	0.002	-0.009	-0.006	0.005	-0.002	-0.002	-0.004	-0.010	-0.008	0.011	-0.009	0.013	-0.004	0.005	-0.001	0.003	0.003	0.010
pal_bal_005	-0.009	0.002	0.002	-0.004	0.550	-0.005	0.002	-0.001	-0.002	0.000	0.004	0.004	0.003	-0.000	0.000	-0.001	0.002	-0.008	0.001	0.001	-0.004	-0.003	0.007	0.003	-0.005	-0.002	-0.001	-0.000	-0.008	-0.002	0.000	0.002	0.006	0.005	0.001	0.008	-0.007	0.004	0.004	-0.001	0.001	0.004	0.001	0.008	0.005	0.006	0.002	-0.004	-0.004	0.008	0.006	0.000	0.001	-0.005	0.002	0.008	-0.007	-0.003	-0.003	-0.000	-0.005	-0.004	0.008	-0.006	0.003	-0.012	0.003	0.003	0.001	-0.003	0.001	0.006	0.002	-0.003	0.000	0.003	-0.007	0.002	-0.008	-0.004	0.003	-0.001	-0.007	-0.004	0.001	-0.003	-0.004	-0.002	-0.007	-0.001	-0.003	0.003	0.001	-0.004	0.009	-0.006	0.003	0.005	-0.005	0.012	-0.015	-0.004	0.005	0.001	0.000	0.002	-0.011	0.002	-0.002	-0.003	-0.006	0.004	0.001	0.002	0.005	0.008	0.002	0.006	-0.003	-0.004	-0.008	0.007	0.000	-0.005	-0.000	0.002	-0.007	0.007	-0.006	-0.007	0.018	0.001	0.001	-0.009	0.000	0.002	-0.010	0.002	0.007	0.002	0.002	-0.003	0.003	-0.001	0.002	-0.001	0.008	-0.007	-0.004	-0.001	0.002	-0.001	-0.002	-0.004	-0.004	0.005	0.002	-0.004	0.004	-0.005	-0.006	0.001	-0.012	0.004	-0.004	-0.005	0.002	0.015	-0.003	0.002	-0.006	0.012	-0.009	0.003	-0.000	-0.003	0.001	-0.000	0.005	0.002	0.004	0.007	-0.006	-0.002	0.003	0.003	0.004	-0.002	-0.003	-0.005	0.003	0.003	0.006	-0.003	0.011	-0.001	0.000	0.006	-0.002	-0.002	0.006	-0.004	-0.006	-0.003	0.002	-0.002	0.007	0.005	0.004	-0.003	-0.000	-0.001	-0.002	-0.010	-0.005	0.014	0.002	0.000	-0.002	-0.003	0.004	-0.007	-0.009	-0.000	0.005	0.003	-0.002	-0.006	-0.006	-0.003	0.003	0.002	-0.006	-0.010	-0.009	0.003	0.007	-0.003	-0.002	0.004	-0.006	-0.007	-0.003
pal_bal_061	0.002	-0.003	-0.000	0.005	-0.005	0.514	-0.001	-0.010	0.010	0.002	0.000	-0.001	-0.006	-0.005	0.003	-0.014	-0.015	-0.002	-0.003	-0.003	0.000	-0.001	-0.003	-0.001	-0.001	-0.003	-0.003	0.001	0.000	0.003	-0.003	-0.009	-0.001	-0.004	0.003	-0.008	0.002	0.002	0.006	0.007	0.002	0.005	0.008	0.010	-0.000	0.000	-0.005	0.008	0.000	-0.004	-0.007	0.003	-0.006	0.004	-0.002	0.009	-0.003	-0.005	0.009	0.002	-0.002	0.002	0.003	-0.005	-0.001	0.007	0.005	-0.005	0.001	0.007	-0.000	0.016	0.001	0.000	0.004	-0.002	-0.004	0.000	-0.009	0.006	-0.000	0.008	-0.001	-0.002	-0.012	0.010	-0.006	-0.002	0.004	-0.007	-0.004	0.007	-0.002	-0.014	-0.003	-0.010	-0.003	0.006	0.001	-0.003	-0.004	0.004	-0.007	-0.005	0.001	-0.006	-0.001	0.003	-0.003	0.005	0.001	-0.000	0.013	0.005	0.001	0.007	0.005	0.003	0.001	-0.010	0.002	-0.002	-0.005	0.013	-0.004	0.004	0.002	0.004	0.001	0.002	-0.001	0.002	0.001	-0.001	0.005	-0.006	0.007	0.005	0.003	0.005	-0.002	-0.003	-0.001	0.004	-0.002	-0.008	-0.001	-0.001	0.007	-0.002	-0.001	-0.007	-0.008	-0.001	0.014	-0.007	-0.013	0.001	0.005	0.004	0.003	-0.002	0.003	-0.005	-0.007	0.005	0.000	-0.003	0.006	-0.002	-0.000	-0.004	-0.003	-0.007	0.001	0.000	-0.001	0.009	0.004	-0.003	-0.013	-0.001	0.002	-0.007	-0.004	0.005	-0.002	-0.009	-0.000	-0.004	0.003	0.000	0.009	0.005	-0.009	-0.004	0.000	0.002	-0.001	-0.005	-0.008	0.009	0.002	0.010	0.012	0.004	-0.002	-0.005	-0.001	-0.002	-0.001	0.010	0.012	0.001	-0.001	0.005	0.002	-0.007	0.000	-0.000	0.004	-0.000	0.006	-0.005	-0.003	0.003	-0.002	0.010	0.004	-0.009	0.003	0.004	-0.006	0.011	0.003	0.001	-0.005	-0.004	0.000	-0.002	-0.002	0.004	-0.004
pal_bal_062	0.008	-0.001	0.003	-0.002	0.002	-0.001	0.497	-0.001	-0.005	-0.005	0.010	0.001	-0.001	0.004	-0.001	-0.007	0.001	-0.005	0.001	0.002	0.004	0.009	0.003	0.002	0.004	0.008	0.002	0.002	-0.003	-0.004	0.002	-0.003	0.002	-0.001	0.005	0.002	-0.007	0.001	-0.002	-0.003	-0.001	0.006	-0.003	0.002	0.010	-0.001	0.001	-0.003	-0.008	0.003	-0.005	0.002	-0.007	0.005	0.009	0.005	0.004	-0.008	-0.002	-0.011	0.004	0.003	0.005	-0.003	-0.001	-0.005	-0.003	0.001	0.006	-0.005	-0.003	-0.006	0.006	-0.008	-0.007	-0.001	0.002	0.001	-0.000	-0.005	0.005	-0.007	0.001	0.004	-0.010	0.001	0.006	0.002	0.003	-0.001	0.008	-0.009	-0.004	-0.010	-0.010	0.001	-0.000	0.003	0.002	-0.006	-0.007	-0.000	0.003	0.005	-0.001	0.010	0.004	0.004	0.007	-0.003	-0.005	0.005	-0.011	0.003	-0.002	-0.002	0.004	-0.004	0.003	0.002	0.004	-0.008	-0.006	0.001	0.004	0.001	-0.009	-0.005	-0.010	-0.002	0.005	0.004	0.008	-0.002	0.001	0.002	0.002	-0.003	0.003	0.014	0.004	0.001	-0.015	0.000	0.002	-0.004	-0.000	-0.002	-0.004	-0.003	-0.000	0.007	-0.000	0.005	-0.005	0.006	0.004	0.001	0.006	0.002	-0.001	-0.006	-0.002	-0.003	0.000	-0.013	-0.001	-0.002	0.006	0.008	0.006	-0.006	-0.002	0.001	0.011	0.002	-0.006	0.003	0.003	-0.004	0.002	0.007	0.001	-0.004	0.001	0.001	-0.001	-0.001	0.004	0.001	0.002	0.005	-0.001	-0.007	0.006	-0.002	0.009	0.001	-0.004	0.003	-0.007	-0.002	-0.006	-0.009	-0.004	-0.005	-0.008	0.000	0.004	0.005	-0.004	-0.003	-0.004	0.008	0.001	0.006	0.002	-0.006	-0.010	0.000	-0.001	0.003	-0.005	-0.001	0.004	0.003	0.001	-0.000	0.005	0.003	-0.004	-0.001	0.002	-0.000	0.008	0.006	-0.003	-0.002	0.000	-0.002	0.009	0.003	-0.001
pal_bal_063	-0.007	-0.001	-0.002	0.004	-0.001	-0.010	-0.001	0.548	-0.008	0.016	0.005	0.006	0.001	-0.003	0.002	-0.009	-0.007	-0.002	-0.001	0.000	0.001	-0.003	-0.004	0.005	-0.002	-0.001	0.004	-0.012	-0.004	-0.001	-0.001	-0.003	-0.001	0.003	0.002	-0.001	-0.003	-0.007	0.002	-0.003	-0.005	-0.004	-0.008	0.001	0.002	-0.000	0.004	0.007	0.010	0.008	-0.009	-0.004	0.003	-0.003	-0.000	0.001	-0.004	0.009	-0.001	-0.010	0.004	-0.010	0.002	0.004	0.007	-0.001	0.003	0.004	0.006	-0.013	-0.000	0.002	-0.001	0.003	0.002	-0.005	0.008	0.005	-0.002	-0.005	0.002	-0.007	-0.006	0.010	-0.002	-0.008	-0.010	0.001	0.004	0.002	0.002	-0.004	-0.003	0.002	-0.006	0.001	0.003	0.005	-0.005	-0.009	0.005	-0.004	0.000	-0.010	0.000	0.009	-0.002	-0.002	0.002	-0.007	0.001	0.001	-0.005	0.016	0.017	-0.003	-0.004	-0.011	0.000	0.007	-0.004	0.004	-0.012	-0.006	-0.006	-0.001	0.003	0.001	0.003	-0.005	-0.005	0.007	0.002	0.005	-0.013	0.005	0.010	-0.004	-0.008	0.001	0.004	0.007	-0.004	0.001	0.003	0.006	0.001	0.002	-0.008	0.001	0.004	-0.004	-0.007	-0.009	-0.004	-0.007	0.005	0.002	0.005	0.005	-0.013	-0.008	-0.004	0.003	0.012	0.002	0.006	-0.015	-0.010	-0.012	0.003	-0.001	0.003	-0.002	0.007	-0.002	-0.002	-0.003	0.005	-0.008	-0.016	0.001	0.000	0.016	0.011	0.000	0.007	-0.005	-0.001	-0.002	0.002	-0.003	-0.003	-0.001	0.006	0.006	0.000	0.001	0.003	0.005	-0.007	0.001	0.005	-0.005	-0.004	-0.008	0.005	-0.005	-0.006	-0.004	0.006	0.006	0.008	0.005	0.015	0.001	-0.003	0.003	-0.005	0.000	0.004	0.001	0.000	0.003	-0.001	-0.004	-0.001	0.006	-0.000	0.002	0.009	-0.007	-0.002	0.001	-0.001	-0.002	0.006	0.005	-0.000	0.012	0.004	0.003	0.000
pal_bal_064	0.003	-0.003	0.001	-0.007	-0.002	0.010	-0.005	-0.008	0.527	-0.002	0.002	-0.004	-0.007	0.003	0.006	-0.001	-0.001	-0.004	0.008	-0.000	0.001	-0.005	0.006	-0.003	-0.004	0.002	-0.008	0.006	0.002	0.008	-0.000	-0.003	-0.002	0.001	-0.005	-0.002	0.004	0.002	0.002	0.001	0.001	-0.011	-0.004	-0.001	0.005	-0.013	0.004	-0.001	-0.009	0.004	0.002	0.004	0.007	-0.006	-0.007	-0.005	0.006	0.004	0.002	0.005	-0.004	-0.009	-0.011	-0.002	-0.000	0.001	0.005	-0.005	-0.002	0.001	0.013	-0.009	0.004	0.002	0.009	-0.004	0.001	0.001	0.003	0.002	0.005	-0.002	-0.002	-0.002	0.004	0.004	-0.004	-0.003	0.001	-0.000	-0.003	0.003	0.000	0.007	0.001	0.006	0.004	-0.001	-0.001	-0.020	-0.001	0.002	-0.007	-0.010	0.000	0.003	-0.006	0.006	0.002	-0.003	0.000	-0.002	-0.007	-0.006	-0.007	-0.004	0.010	-0.001	0.014	0.001	-0.004	0.000	0.001	-0.004	-0.007	0.004	0.007	-0.004	0.001	-0.001	-0.003	0.006	-0.004	-0.007	0.006	0.004	0.007	0.005	-0.002	-0.004	0.001	0.004	0.000	-0.005	0.004	-0.002	-0.005	0.003	-0.005	0.001	0.001	-0.003	0.004	0.006	0.005	-0.009	-0.006	0.008	0.003	-0.003	0.006	-0.006	-0.002	0.004	-0.004	-0.008	-0.005	-0.012	0.014	0.006	-0.004	0.005	0.007	-0.004	-0.006	0.012	-0.006	-0.001	-0.004	-0.000	0.001	-0.004	0.003	-0.006	0.002	-0.003	-0.002	-0.001	-0.004	0.003	0.003	-0.003	-0.004	0.013	-0.005	-0.007	0.001	-0.001	0.001	0.005	-0.007	0.001	0.007	0.004	-0.006	-0.001	0.005	-0.002	0.002	0.009	-0.003	-0.008	0.001	-0.006	-0.001	-0.005	0.006	-0.009	-0.003	0.009	0.011	-0.001	0.004	0.003	-0.004	0.004	0.011	-0.000	-0.003	0.009	0.005	0.001	-0.004	0.004	-0.002	0.003	0.001	-0.006	0.001	-0.002	0.002	-0.000	0.000
pal_bal_065	-0.004	0.003	-0.001	0.004	0.000	0.002	-0.005	0.016	-0.002	0.545	0.001	-0.003	0.000	-0.002	0.009	-0.005	-0.006	-0.008	-0.001	-0.008	0.002	-0.017	0.001	-0.003	0.005	0.001	0.003	-0.000	0.005	-0.008	0.009	-0.000	0.014	-0.008	-0.001	-0.004	0.001	-0.006	0.013	-0.001	0.003	-0.001	0.008	0.005	-0.001	-0.001	0.003	-0.005	-0.002	0.001	0.004	0.006	0.005	0.006	0.007	-0.001	0.001	0.000	0.000	-0.006	0.004	0.003	0.004	0.001	-0.006	-0.002	-0.003	0.003	-0.005	-0.001	0.005	-0.002	0.006	0.004	-0.002	0.001	0.002	-0.001	0.003	-0.006	0.005	0.008	0.001	0.002	0.001	-0.000	-0.009	0.008	0.003	-0.004	-0.004	-0.000	0.004	-0.011	0.008	0.000	-0.005	-0.002	-0.001	-0.003	-0.004	-0.003	0.002	-0.004	-0.004	-0.016	0.007	0.000	0.003	0.005	0.000	0.008	-0.001	0.001	0.003	-0.001	-0.002	-0.008	0.006	-0.001	0.004	0.002	-0.002	-0.008	-0.003	-0.001	-0.000	-0.005	0.003	-0.000	-0.004	-0.006	0.000	0.010	0.005	-0.002	-0.004	0.008	0.006	0.001	0.004	0.002	0.000	0.004	-0.000	-0.002	-0.001	0.008	0.004	-0.007	0.000	0.007	-0.002	-0.004	0.003	-0.002	-0.006	0.004	-0.016	-0.005	-0.009	-0.002	-0.004	-0.000	-0.002	-0.006	0.002	0.006	0.006	-0.007	-0.004	-0.006	-0.000	-0.007	0.000	-0.010	0.001	0.003	-0.003	-0.001	-0.004	-0.002	0.005	0.000	0.010	-0.002	-0.001	-0.009	0.001	0.000	-0.003	0.000	0.001	0.001	-0.000	0.001	0.002	-0.004	-0.002	0.009	-0.003	0.004	0.001	-0.001	-0.005	-0.005	-0.004	0.002	-0.004	-0.003	0.000	-0.001	-0.001	-0.003	0.005	-0.009	0.008	0.004	0.008	-0.002	-0.006	-0.001	0.003	-0.002	0.007	0.007	-0.002	-0.013	-0.001	-0.002	0.002	0.002	0.002	0.004	0.001	-0.010	0.009	-0.003	-0.007	0.002	-0.003	0.005	-0.006
