INDV	CLUSTER	SEX.x	SEX.y
pal_bal_071	1	Ind	Ind
pal_bal_072	2	Ind	Ind
pal_bal_076	1	Ind	Ind
pal_bal_077	2	Ind	Ind
pal_bal_078	1	Ind	Ind
pal_bal_082	1	Ind	Ind
pal_bal_083	1	Ind	Ind
pal_bal_084	1	Ind	Ind
pal_bal_085	2	Ind	Ind
pal_bal_086	2	Ind	Ind
pal_bal_087	2	Ind	Ind
pal_bal_088	1	Ind	Ind
pal_bal_089	2	Ind	Ind
pal_bal_090	2	Ind	Ind
pal_bal_099	1	Ind	Ind
pal_bal_100	1	Ind	Ind
pal_bal_101	1	Ind	Ind
pal_bal_105	1	Ind	Ind
pal_bal_106	1	Ind	Ind
pal_bal_107	2	Ind	Ind
pal_bal_108	2	Ind	Ind
pal_bal_109	1	Ind	Ind
pal_bal_110	2	Ind	Ind
pal_bal_111	2	Ind	Ind
pal_bal_114	2	Ind	Ind
pal_bal_115	2	Ind	Ind
pal_bal_116	2	Ind	Ind
pal_bal_121	2	Ind	Ind
pal_bal_122	1	Ind	Ind
pal_bal_123	2	Ind	Ind
pal_spaAL_001	1	NA	NA
pal_spaAL_002	2	NA	NA
pal_spaAL_003	2	NA	NA
pal_spaAL_004	1	NA	NA
pal_spaAL_005	2	NA	NA
pal_spaAL_006	2	NA	NA
pan_fra_006	1	NA	NA
pan_fra_007	2	NA	NA
pan_fra_008	2	NA	NA
pan_fra_009	1	NA	NA
pan_spaS_004	2	NA	NA
pan_spaS_005	2	NA	NA
pan_spaS_006	2	NA	NA
pan_spaS_007	1	NA	NA
pan_spaS_008	1	NA	NA
pan_spaS_010	2	NA	NA
pan_spaS_011	2	NA	NA
pan_spaS_012	1	NA	NA
pan_spaS_013	2	NA	NA
pan_spaS_014	2	NA	NA
pan_spaS_015	2	NA	NA
pan_spaS_016	2	NA	NA
pan_spaS_017	2	NA	NA
