INDV	HET
pal_bal_124	0.844984802
pal_bal_113	0.046666667
pal_bal_165	0.781155015
pal_bal_171	0.055194805
pal_bal_102	0.058823529
pal_bal_023	0.758308157
pal_bal_159	0.72755418
pal_bal_181	0.039473684
pal_bal_017	0.778115502
pal_bal_085	0.808510638
pal_bal_168	0.811550152
pal_bal_138	0.775757576
pal_bal_033	0.042207792
pan_spaS_002	0.801829268
pal_bal_040	0.794561934
pal_bal_072	0.799392097
pal_bal_008	0.032467532
pal_bal_153	0.035947712
pal_bal_151	0.033112583
pal_bal_146	0.039735099
pal_bal_112	0.026058632
pal_bal_108	0.824242424
pal_bal_024	0.056291391
pal_bal_176	0.055374593
pal_bal_070	0.042622951
pal_bal_001	0.036184211
pal_bal_144	0.035714286
pal_bal_076	0.026143791
pal_bal_019	0.821752266
pal_bal_018	0.048231511
pal_bal_028	0.022875817
pal_bal_020	0.02295082
pal_bal_014	0.049668874
pal_bal_157	0.059602649
pal_bal_071	0.049668874
pal_bal_118	0.817073171
pal_bal_134	0.768292683
pal_bal_093	0.03236246
pal_bal_066	0.016447368
pal_bal_080	0.809090909
pal_bal_161	0.827794562
pal_bal_007	0.039735099
pal_bal_164	0.154340836
pal_bal_022	0.817629179
pal_bal_123	0.779816514
pal_bal_160	0.750759878
pal_bal_178	0.036065574
pal_bal_182	0.044871795
pal_bal_149	0.84592145
pal_bal_145	0.048859935
pal_bal_096	0.026578073
pal_bal_122	0.033333333
pal_bal_097	0.035714286
pal_bal_152	0.04040404
pal_bal_180	0.045016077
pal_bal_173	0.053156146
pal_bal_009	0.046052632
pal_bal_107	0.81402439
pal_bal_117	0.029315961
pal_bal_104	0.042207792
pal_bal_175	0.039087948
pal_bal_154	0.061889251
pal_bal_015	0.85106383
pal_bal_012	0.055374593
pal_bal_174	0.048701299
pal_bal_098	0.784194529
pal_bal_137	0.762195122
pal_bal_158	0.787878788
pal_bal_136	0.818181818
pal_bal_163	0.716510903
pal_bal_172	0.771341463
pal_bal_067	0.748484848
pal_bal_156	0.061488673
pal_bal_119	0.812688822
pal_bal_179	0.056666667
pal_bal_103	0.035598706
pan_spaS_003	0.052287582
pal_bal_047	0.055921053
pan_spaS_026	0.042345277
pal_bal_148	0.052287582
pal_bal_010	0.789634146
pal_bal_111	0.772727273
pal_bal_016	0.039215686
pal_bal_147	0.042345277
pal_bal_049	0.818731118
pal_bal_155	0.048543689
pal_bal_150	0.791411043
