INDV	SEX	OUTLIERS	NEUTRAL
pal_bal_124	0,844984802	0,01635514	0,128113027
pal_bal_113	0,046666667	0,028436019	0,126923077
pal_bal_165	0,781155015	0,018518519	0,124283596
pal_bal_171	0,055194805	0,032110092	0,126303592
pal_bal_102	0,058823529	0,044600939	0,132680783
pal_bal_023	0,758308157	0,03286385	0,123903728
pal_bal_159	0,72755418	0,023310023	0,121655384
pal_bal_181	0,039473684	0,037383178	0,122045036
pal_bal_017	0,778115502	0,030162413	0,127421938
pal_bal_085	0,808510638	0,016509434	0,125350645
pal_bal_168	0,811550152	0,028037383	0,125447308
pal_bal_138	0,775757576	0,016431925	0,124479834
pal_bal_033	0,042207792	0,014018692	0,129436659
pan_spaS_002	0,801829268	0,050691244	0,125391095
pal_bal_040	0,794561934	0,037470726	0,123141655
pal_bal_072	0,799392097	0,040767386	0,125626328
pal_bal_008	0,032467532	0,023255814	0,131399385
pal_bal_153	0,035947712	0,052505967	0,124361501
pal_bal_151	0,033112583	0,035377358	0,121578229
pal_bal_146	0,039735099	0,025171625	0,125947008
pal_bal_112	0,026058632	0,031026253	0,125871604
pal_bal_108	0,824242424	0,037825059	0,123739798
pal_bal_024	0,056291391	0,0430839	0,125060144
pal_bal_176	0,055374593	0,036781609	0,126247445
pal_bal_070	0,042622951	0,025581395	0,126636857
pal_bal_001	0,036184211	0,031553398	0,123271197
pal_bal_144	0,035714286	0,021276596	0,127339773
pal_bal_076	0,026143791	0,028708134	0,123992784
pal_bal_019	0,821752266	0,020547945	0,126975259
pal_bal_018	0,048231511	0,014388489	0,121953175
pal_bal_028	0,022875817	0,033175355	0,1181562
pal_bal_020	0,02295082	0,023364486	0,125351095
pal_bal_014	0,049668874	0,019093079	0,11743671
pal_bal_157	0,059602649	0,037296037	0,12098003
pal_bal_071	0,049668874	0,024096386	0,121180444
pal_bal_118	0,817073171	0,025943396	0,131179088
pal_bal_134	0,768292683	0,021126761	0,124408818
pal_bal_093	0,03236246	0,018735363	0,124409007
pal_bal_066	0,016447368	0,02739726	0,125655498
pal_bal_080	0,809090909	0,023364486	0,124203439
pal_bal_161	0,827794562	0,025	0,126532732
pal_bal_007	0,039735099	0,020979021	0,123395893
pal_bal_164	0,154340836	0,02764977	0,141531323
pal_bal_022	0,817629179	0,025700935	0,122565682
pal_bal_123	0,779816514	0,011792453	0,12496994
pal_bal_160	0,750759878	0,03712297	0,122323545
pal_bal_178	0,036065574	0,025882353	0,121106294
pal_bal_182	0,044871795	0,045454545	0,126336872
pal_bal_149	0,84592145	0,029816514	0,131788819
pal_bal_145	0,048859935	0,016666667	0,125585492
pal_bal_096	0,026578073	0,037037037	0,120533205
pal_bal_122	0,033333333	0,023419204	0,123845103
pal_bal_097	0,035714286	0,022883295	0,128621598
pal_bal_152	0,04040404	0,021276596	0,128537074
pal_bal_180	0,045016077	0,021276596	0,127010872
pal_bal_173	0,053156146	0,03908046	0,123656345
pal_bal_009	0,046052632	0,035971223	0,128552531
pal_bal_107	0,81402439	0,021327014	0,126923077
pal_bal_117	0,029315961	0,030588235	0,124194517
pal_bal_104	0,042207792	0,023752969	0,131154736
pal_bal_175	0,039087948	0,018390805	0,126308192
pal_bal_154	0,061889251	0,018779343	0,122126379
pal_bal_015	0,85106383	0,032183908	0,129532852
pal_bal_012	0,055374593	0,047169811	0,127491794
pal_bal_174	0,048701299	0,025229358	0,120323112
pal_bal_098	0,784194529	0,042755344	0,121338912
pal_bal_137	0,762195122	0,030660377	0,122290273
pal_bal_158	0,787878788	0,030092593	0,121661362
pal_bal_136	0,818181818	0,023148148	0,124298091
pal_bal_163	0,716510903	0,019230769	0,125803859
pal_bal_172	0,771341463	0,016548463	0,124408438
pal_bal_067	0,748484848	0,01946472	0,122435872
pal_bal_156	0,061488673	0,02739726	0,133493014
pal_bal_119	0,812688822	0,024390244	0,12538067
pal_bal_179	0,056666667	0,022988506	0,1248148
pal_bal_103	0,035598706	0,02293578	0,124313049
pan_spaS_003	0,052287582	0,042959427	0,12853079
pal_bal_047	0,055921053	0,026004728	0,122892724
pan_spaS_026	0,042345277	0,032482599	0,122882883
pal_bal_148	0,052287582	0,029953917	0,13312323
pal_bal_010	0,789634146	0,028571429	0,121263259
pal_bal_111	0,772727273	0,14797136	0,122991224
pal_bal_016	0,039215686	0,013824885	0,130429575
pal_bal_147	0,042345277	0,028985507	0,122670186
pal_bal_049	0,818731118	0,028503563	0,12311457
pal_bal_155	0,048543689	0,016018307	0,120636323
pal_bal_150	0,791411043	0,032941176	0,124049104
pal_bal_135	0,023178808	0,025700935	0,122555515
pal_bal_021	0,056291391	0,012048193	0,12303497
pal_bal_013	0,812688822	0,021028037	0,12461933
pan_spaS_050	0,787234043	0,042857143	0,123742334
pal_bal_063	0,790273556	0,034965035	0,124283596
pan_spaS_028	0,026315789	0,035545024	0,127559812
pal_bal_055	0,029605263	0,014117647	0,121499077
pal_bal_069	0,796969697	0,031325301	0,124849506
pal_bal_025	0,04290429	0,023923445	0,123183169
pal_bal_039	0,039215686	0,016746411	0,12027837
pal_bal_078	0,061889251	0,016548463	0,133362588
pal_bal_167	0,81570997	0,036781609	0,131695449
pal_bal_036	0,032679739	0,042755344	0,123519255
pan_spaS_012	0,068181818	0,022988506	0,125746583
pal_bal_030	0,786585366	0,029339853	0,116534226
pan_spaS_024	0,749235474	0,018957346	0,121441819
pan_spaS_041	0,029508197	0,026315789	0,126018381
pal_bal_073	0,791540785	0,018735363	0,125340163
pal_bal_099	0,042345277	0,040669856	0,123430039
pal_bal_177	0,786377709	0,029268293	0,116707666
pal_bal_038	0,023411371	0,030805687	0,119682565
pan_spaS_033	0,060702875	0,023255814	0,128979494
pan_spaS_001	0,032679739	0,032786885	0,128960179
pal_bal_115	0,774390244	0,02919708	0,124059999
pal_bal_082	0,050955414	0,03117506	0,121505463
pal_bal_075	0,039344262	0,035885167	0,124884589
pal_bal_037	0,783536585	0,023529412	0,123020169
pan_spaS_042	0,038961039	0,03163017	0,12025824
pal_bal_126	0,820121951	0,028846154	0,123868892
pal_bal_044	0,799392097	0,019002375	0,117945211
pal_bal_043	0,029900332	0,026894866	0,120448968
pal_bal_045	0,736024845	0,039119804	0,115148309
pan_spaS_025	0,030100334	0,026634383	0,122278796
pal_bal_004	0,054313099	0,02764977	0,130547573
pal_bal_143	0,029508197	0,036781609	0,127010737
pal_bal_128	0,763239875	0,03406326	0,12145914
pal_bal_087	0,773700306	0,01627907	0,119336928
pal_bal_129	0,03236246	0,027160494	0,119263103
pal_bal_068	0,796969697	0,026315789	0,122742233
pal_bal_090	0,779141104	0,033175355	0,125150373
pan_spaS_048	0,047297297	0,035175879	0,114948282
pan_spaS_009	0,805471125	0,041958042	0,125746583
pal_bal_141	0,744680851	0,027906977	0,121388443
pal_bal_170	0,763636364	0,033175355	0,120709151
pal_bal_026	0,751533742	0,026570048	0,123927512
pal_bal_114	0,845454545	0,011961722	0,125169579
pal_bal_106	0,051948052	0,020737327	0,131207089
pal_bal_139	0,784615385	0,019559902	0,121408599
pan_spaS_029	0,009771987	0,029953917	0,124969882
pal_bal_058	0,035598706	0,04842615	0,118173353
pal_bal_116	0,817629179	0,024038462	0,122192814
pal_bal_065	0,796969697	0,028436019	0,125567019
pal_bal_089	0,734756098	0,01946472	0,120893244
pan_spaS_005	0,821752266	0,030732861	0,123705963
pal_bal_046	0,029801325	0,047169811	0,119900318
pal_bal_166	0,05483871	0,023980815	0,12136917
pal_bal_105	0,032786885	0,037647059	0,123876765
pal_bal_120	0,058823529	0,03255814	0,130726257
pal_bal_140	0,836858006	0,016241299	0,126807831
pan_spaS_004	0,802431611	0,030092593	0,124342132
pal_bal_077	0,775075988	0,028368794	0,122541543
pan_spaS_035	0,036065574	0,03874092	0,120609088
pal_bal_050	0,806646526	0,014319809	0,123063338
pan_spaS_014	0,8	0,025641026	0,125240231
pal_bal_053	0,778115502	0,014051522	0,124357945
pal_bal_169	0,762917933	0,023474178	0,123102257
pal_bal_094	0,754545455	0,033412888	0,115102698
pal_bal_127	0,136666667	0,024154589	0,132139128
pal_bal_130	0,045901639	0,021126761	0,128440733
pal_bal_061	0,045602606	0,024498886	0,126692495
pal_bal_057	0,064516129	0,035714286	0,121908056
pan_spaS_031	0,056105611	0,031941032	0,125115254
pan_spaS_022	0,710365854	0,045454545	0,11871593
pal_bal_086	0,721212121	0,016826923	0,120407917
pan_spaS_010	0,829787234	0,012106538	0,121146173
pal_bal_084	0,038461538	0,03271028	0,123129988
pal_bal_006	0,042345277	0,016393443	0,12266956
pal_bal_056	0,81570997	0,038369305	0,125491455
pal_bal_074	0,051446945	0,04137931	0,133713738
pal_bal_029	0,055555556	0,034013605	0,131710237
pal_bal_079	0,674846626	0,023148148	0,118650218
pal_bal_121	0,777777778	0,012077295	0,123533665
pal_bal_064	0,759878419	0,037296037	0,120613507
pal_bal_109	0,058823529	0,026699029	0,129317269
pan_spaS_040	0,059016393	0,054631829	0,12668031
pal_bal_101	0,036065574	0,054631829	0,125781877
pal_bal_162	0,794478528	0,023148148	0,119394574
pal_bal_027	0,817629179	0,034965035	0,120303164
pal_bal_054	0,029032258	0,026252983	0,126098295
pal_bal_100	0,045307443	0,004796163	0,129067029
pal_bal_002	0,076923077	0,02283105	0,129727142
pal_bal_005	0,805471125	0,03712297	0,120711154
pal_bal_095	0,75304878	0,016431925	0,12207102
pan_spaS_030	0,045454545	0,02195122	0,126589897
pan_spaS_021	0,829787234	0,035046729	0,124745519
pan_spaS_018	0,839393939	0,020785219	0,131997761
pan_spaS_038	0,785276074	0,026506024	0,123350499
pan_spaS_049	0,04516129	0,031325301	0,118838595
pan_spaS_016	0,733128834	0,018691589	0,11607179
pal_bal_092	0,740061162	0,02200489	0,118746453
pal_medit_007	0,044067797	0,038554217	0,110723663
pan_fra_006	0,056856187	0,033333333	0,115595738
pan_spaS_043	0,848024316	0,027272727	0,132838679
pal_bal_088	0,055194805	0,035460993	0,131699725
pal_bal_051	0,067307692	0,041162228	0,122387217
pan_spaS_019	0,747720365	0,023752969	0,118612038
pan_spaS_036	0,787234043	0,023752969	0,123649653
pal_bal_031	0,039735099	0,0243309	0,120262332
pal_spaAL_001	0,049019608	0,023923445	0,121085259
pan_fra_007	0,733944954	0,038004751	0,115467087
pan_spaS_015	0,848484848	0,027459954	0,132103351
pan_spaS_044	0,080128205	0,020316027	0,125455055
pal_bal_083	0,03960396	0,037688442	0,121949255
pan_spaS_046	0,724242424	0,02184466	0,11573514
pal_bal_032	0,758308157	0,029850746	0,121102248
pal_medit_001	0,709876543	0,036319613	0,113946612
pal_spaAL_002	0,671875	0,032098765	0,113263175
pan_fra_008	0,697530864	0,033898305	0,114915915
pal_bal_110	0,818181818	0,03962704	0,131181593
pal_bal_081	0,08974359	0,039812646	0,132110823
pan_spaS_034	0,733333333	0,026378897	0,119180633
pal_bal_059	0,787234043	0,036585366	0,117421645
pan_spaS_020	0,779816514	0,014150943	0,120461514
pal_medit_002	0,030201342	0,33640553	0,119917215
pal_spaAL_003	0,74617737	0,369020501	0,143620899
pan_fra_009	0,016666667	0,033980583	0,112964398
pan_spaS_013	0,841945289	0,030162413	0,130314898
pal_bal_062	0,845454545	0,01826484	0,126819127
pan_spaS_052	0,05483871	0,028985507	0,118438545
pan_spaS_027	0,048859935	0,019230769	0,119556898
pan_spaS_032	0,065359477	0,031862745	0,122155544
pal_medit_003	0,050847458	0,061728395	0,110819565
pal_spaAL_004	0,03125	0,040712468	0,109335091
pan_spaS_039	0,806646526	0,021479714	0,12720016
pan_spaS_006	0,788519637	0,029953917	0,13201149
pan_spaS_037	0,035714286	0,02184466	0,118949102
pal_bal_052	0,74382716	0,041769042	0,117654216
pal_bal_091	0,739130435	0,019184652	0,116006467
pal_medit_004	0,023178808	0,046838407	0,120481443
pal_spaAL_005	0,701538462	0,018779343	0,118373275
pan_spaS_051	0,035947712	0,02764977	0,127272001
pan_spaS_045	0,054487179	0,028037383	0,126358696
pan_spaS_011	0,760606061	0,028301887	0,119448142
pal_bal_042	0,038961039	0,03087886	0,117834395
pal_bal_041	0,781818182	0,016949153	0,125413206
pal_medit_005	0,734756098	0,032634033	0,118585354
pal_spaAL_006	0,719512195	0,028571429	0,120365893
pan_spaS_007	0,055016181	0,028103044	0,132094285
pan_spaS_008	0,038961039	0,021686747	0,127185629
pan_spaS_017	0,802431611	0,048309179	0,122428439
pan_spaS_047	0,804878049	0,031476998	0,122409561
pal_bal_003	0,778115502	0,042352941	0,121757693
pal_medit_006	0,02	0,02173913	0,118765133
pan_fra_005	0,040955631	0,029339853	0,11470624
